,Unnamed: 0,Internet usage_no time at all,Rock,Cars,Reliability,Decision making,Movies,Elections,Celebrities,Self-criticism,Judgment calls,Hypochondria,Empathy,Art exhibitions,Theatre,Eating to survive,Giving,Storm,Classical music,Rats,Flying,Compassion to animals,Borrowed stuff,Loneliness,Musical instruments,Cheating in school,Health,Law,Dance,Changing the past,Appearence and gestures,Romantic,God,Science and technology,Physics,Dreams,Charity,Foreign languages,Number of friends,Darkness,Prioritising workload,Passwords,Emails
10,10,0,3.0,2.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,2.0,5.0,2.0,2.0,2,3.0,1.0,2.0,1.0,1.0,5.0,4.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,3,1.0,5.0,3,2.0,2.0,Default,11@survey.com
11,11,0,5.0,1.0,3.0,3.0,5.0,1.0,2.0,5.0,3.0,5.0,5.0,5.0,1.0,1,1.0,1.0,4.0,5.0,4.0,2.0,2.0,4.0,1.0,5.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,3,3.0,2.0,4,1.0,1.0,Default,12@survey.com
12,12,0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,5.0,1.0,2.0,3,2.0,1.0,4.0,1.0,1.0,5.0,5.0,5.0,4.0,2.0,5.0,2.0,1.0,3.0,4.0,3.0,1.0,3.0,1.0,3,2.0,5.0,3,1.0,3.0,Default,13@survey.com
13,13,0,2.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,1.0,4.0,3.0,3.0,2,3.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,3.0,3.0,1.0,5.0,2.0,5.0,5.0,3.0,2.0,1.0,4,1.0,5.0,3,3.0,3.0,Default,14@survey.com
14,14,0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,1,5.0,5.0,2.0,1.0,5.0,5.0,4.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,4.0,4.0,5.0,2.0,1.0,4,3.0,3.0,5,3.0,5.0,Default,15@survey.com
15,15,0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,5.0,4.0,1.0,4.0,3.0,3.0,5,3.0,1.0,4.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,4.0,2.0,5.0,3.0,3.0,1.0,5.0,3.0,3,1.0,4.0,3,1.0,1.0,Default,16@survey.com
16,16,0,4.0,1.0,2.0,5.0,5.0,2.0,3.0,3.0,4.0,1.0,5.0,1.0,1.0,3,3.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,5.0,3.0,1.0,3.0,5.0,4.0,3.0,4.0,2.0,1.0,3,1.0,3.0,4,5.0,3.0,Default,17@survey.com
17,17,0,4.0,1.0,5.0,2.0,5.0,5.0,3.0,4.0,5.0,2.0,3.0,1.0,3.0,5,3.0,5.0,2.0,1.0,3.0,5.0,3.0,4.0,1.0,2.0,4.0,1.0,3.0,5.0,4.0,5.0,2.0,4.0,3.0,2,2.0,2.0,2,5.0,2.0,Default,18@survey.com
18,18,0,4.0,2.0,4.0,3.0,5.0,1.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,3,1.0,1.0,4.0,1.0,1.0,2.0,5.0,4.0,1.0,4.0,3.0,1.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,3,1.0,4.0,2,1.0,4.0,Default,19@survey.com
19,19,0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,1.0,5.0,2.0,2.0,2,1.0,2.0,4.0,2.0,3.0,1.0,5.0,2.0,5.0,5.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,4,1.0,4.0,4,2.0,1.0,Default,20@survey.com
20,20,0,5.0,5.0,2.0,2.0,5.0,5.0,2.0,4.0,3.0,1.0,3.0,2.0,2.0,2,4.0,2.0,4.0,2.0,2.0,5.0,5.0,2.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4,2.0,4.0,3,2.0,2.0,Default,21@survey.com
21,21,0,5.0,1.0,4.0,1.0,5.0,5.0,1.0,3.0,2.0,1.0,1.0,2.0,4.0,1,2.0,1.0,2.0,1.0,1.0,5.0,3.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,5.0,1.0,4,1.0,4.0,3,1.0,1.0,Default,22@survey.com
22,22,0,1.0,2.0,4.0,5.0,5.0,5.0,1.0,1.0,3.0,2.0,4.0,1.0,2.0,3,3.0,2.0,3.0,3.0,1.0,5.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,1.0,3,2.0,3.0,2,1.0,3.0,Default,23@survey.com
23,23,0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,1.0,3.0,2.0,5.0,1,2.0,4.0,2.0,2.0,2.0,5.0,3.0,3.0,5.0,5.0,4.0,2.0,4.0,4.0,3.0,5.0,2.0,3.0,3.0,4,2.0,4.0,3,5.0,1.0,Default,24@survey.com
24,24,0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,5.0,2,3.0,1.0,4.0,4.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,1.0,2,3.0,5.0,2,2.0,2.0,Default,25@survey.com
25,25,0,1.0,1.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,1.0,3.0,2.0,3.0,1,3.0,2.0,2.0,1.0,3.0,4.0,4.0,2.0,1.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,2.0,1.0,1.0,4,1.0,5.0,4,2.0,3.0,Default,26@survey.com
26,26,0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,4.0,2.0,1.0,3,4.0,1.0,5.0,1.0,1.0,5.0,5.0,4.0,2.0,5.0,2.0,1.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,4,3.0,3.0,4,1.0,4.0,Default,27@survey.com
27,27,0,4.0,1.0,4.0,1.0,5.0,2.0,2.0,3.0,3.0,1.0,4.0,2.0,1.0,3,3.0,5.0,3.0,1.0,3.0,5.0,4.0,3.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,4,2.0,4.0,3,2.0,3.0,Default,28@survey.com
28,28,0,4.0,5.0,4.0,2.0,5.0,3.0,3.0,2.0,5.0,2.0,5.0,1.0,1.0,1,4.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,5.0,3.0,3.0,5.0,1.0,5.0,3.0,2.0,3.0,2.0,4,2.0,4.0,5,2.0,3.0,Default,29@survey.com
29,29,0,4.0,2.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,2.0,5.0,4.0,4.0,1,4.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,2.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,3,2.0,5.0,4,4.0,5.0,Default,30@survey.com
30,30,0,4.0,4.0,4.0,3.0,5.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2,4.0,1.0,3.0,3.0,1.0,4.0,4.0,2.0,1.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,1.0,3,2.0,4.0,4,1.0,2.0,Default,31@survey.com
31,31,0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,3.0,1.0,5.0,4.0,3.0,2,3.0,1.0,2.0,3.0,1.0,4.0,5.0,2.0,1.0,3.0,2.0,1.0,4.0,3.0,3.0,5.0,5.0,1.0,2.0,3,2.0,4.0,3,1.0,3.0,Default,32@survey.com
32,32,0,4.0,3.0,1.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,5.0,4.0,3.0,1,1.0,5.0,2.0,5.0,3.0,5.0,5.0,1.0,2.0,5.0,1.0,2.0,3.0,1.0,2.0,5.0,3.0,3.0,1.0,3,1.0,3.0,5,5.0,1.0,Default,33@survey.com
33,33,0,3.0,1.0,5.0,1.0,4.0,5.0,3.0,5.0,5.0,2.0,4.0,5.0,4.0,2,3.0,5.0,4.0,3.0,1.0,4.0,5.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,4,4.0,5.0,4,2.0,2.0,Default,34@survey.com
34,34,0,5.0,5.0,4.0,3.0,5.0,5.0,1.0,4.0,3.0,1.0,2.0,3.0,3.0,2,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,5.0,5.0,1.0,4,4.0,5.0,4,2.0,3.0,Default,35@survey.com
35,35,0,3.0,4.0,5.0,3.0,5.0,5.0,3.0,1.0,5.0,1.0,4.0,2.0,5.0,2,5.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,1.0,5.0,3.0,5.0,3.0,1.0,3.0,5.0,5.0,2.0,1.0,4,1.0,5.0,3,3.0,2.0,Default,36@survey.com
36,36,0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,1.0,5.0,3.0,4.0,4,3.0,1.0,3.0,1.0,3.0,5.0,5.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,4.0,4.0,1.0,4.0,3.0,4,4.0,4.0,2,4.0,3.0,Default,37@survey.com
37,37,0,3.0,2.0,5.0,4.0,4.0,3.0,2.0,3.0,5.0,1.0,5.0,2.0,1.0,3,5.0,1.0,5.0,1.0,1.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,4.0,3.0,3,1.0,4.0,1,1.0,2.0,Default,38@survey.com
38,38,0,4.0,1.0,4.0,4.0,5.0,5.0,2.0,3.0,5.0,1.0,5.0,4.0,3.0,5,3.0,4.0,5.0,1.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,2.0,3,1.0,5.0,2,2.0,1.0,Default,39@survey.com
39,39,0,5.0,4.0,4.0,3.0,4.0,1.0,2.0,4.0,2.0,5.0,3.0,1.0,2.0,1,1.0,3.0,2.0,5.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,1.0,3.0,5.0,4.0,5.0,3.0,5.0,1.0,3,1.0,1.0,1,2.0,5.0,Default,40@survey.com
40,40,0,1.0,1.0,5.0,2.0,5.0,1.0,5.0,3.0,4.0,3.0,3.0,1.0,1.0,1,4.0,3.0,1.0,5.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,1.0,4,3.0,3.0,3,5.0,1.0,Default,41@survey.com
41,41,0,4.0,1.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,1.0,1,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,3.0,5.0,4,1.0,3.0,3,1.0,1.0,Default,42@survey.com
42,42,0,5.0,3.0,5.0,2.0,5.0,1.0,2.0,3.0,3.0,1.0,5.0,2.0,2.0,2,4.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,5.0,4.0,4.0,1.0,4,3.0,5.0,3,3.0,4.0,Default,43@survey.com
43,43,0,4.0,2.0,5.0,3.0,5.0,4.0,3.0,5.0,3.0,2.0,4.0,5.0,3.0,3,4.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,1.0,3,3.0,5.0,4,4.0,4.0,Default,44@survey.com
44,44,0,4.0,1.0,4.0,3.0,5.0,5.0,5.0,2.0,5.0,3.0,5.0,3.0,4.0,3,5.0,2.0,3.0,3.0,3.0,5.0,5.0,4.0,1.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3,3.0,3.0,5,4.0,4.0,Default,45@survey.com
45,45,0,4.0,1.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,1.0,1.0,2.0,4,1.0,2.0,4.0,1.0,5.0,5.0,1.0,4.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,2,2.0,2.0,2,2.0,5.0,Default,46@survey.com
46,46,0,5.0,5.0,5.0,4.0,5.0,1.0,4.0,3.0,3.0,1.0,3.0,5.0,3.0,2,4.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,4.0,4.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,5,3.0,5.0,5,1.0,3.0,Default,47@survey.com
47,47,0,4.0,2.0,4.0,3.0,5.0,2.0,2.0,3.0,3.0,1.0,4.0,1.0,4.0,2,4.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,4.0,5.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,3,1.0,5.0,4,1.0,4.0,Default,48@survey.com
48,48,0,2.0,2.0,5.0,2.0,3.0,5.0,2.0,5.0,5.0,1.0,4.0,2.0,4.0,2,4.0,1.0,1.0,3.0,3.0,4.0,4.0,5.0,2.0,5.0,5.0,2.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,4,2.0,5.0,2,2.0,5.0,Default,49@survey.com
49,49,0,5.0,3.0,3.0,3.0,5.0,1.0,2.0,3.0,3.0,1.0,4.0,1.0,2.0,2,3.0,1.0,2.0,2.0,3.0,4.0,3.0,4.0,1.0,4.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,3,1.0,4.0,4,5.0,1.0,Default,50@survey.com
50,50,0,5.0,1.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,2.0,1,2.0,2.0,5.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,4.0,4.0,5.0,4.0,1.0,3,2.0,4.0,3,1.0,2.0,Default,51@survey.com
51,51,0,4.0,4.0,5.0,3.0,5.0,5.0,2.0,3.0,3.0,1.0,5.0,3.0,2.0,1,5.0,1.0,4.0,1.0,3.0,5.0,1.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,4.0,5.0,5.0,5.0,5.0,3,3.0,4.0,3,3.0,5.0,Default,52@survey.com
52,52,0,5.0,3.0,3.0,4.0,5.0,4.0,1.0,3.0,5.0,2.0,5.0,4.0,4.0,3,3.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,2.0,5.0,1.0,4.0,5.0,5.0,4.0,2.0,3,3.0,4.0,5,5.0,2.0,Default,53@survey.com
53,53,0,3.0,5.0,5.0,3.0,5.0,5.0,1.0,3.0,5.0,1.0,5.0,5.0,5.0,5,5.0,1.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,5.0,1.0,5.0,5.0,3.0,1.0,3,1.0,5.0,5,1.0,3.0,Default,54@survey.com
54,54,0,5.0,2.0,5.0,3.0,5.0,3.0,1.0,4.0,5.0,1.0,5.0,5.0,5.0,3,4.0,2.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,3,3.0,4.0,5,5.0,1.0,Default,55@survey.com
55,55,0,3.0,2.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,2,2.0,2.0,4.0,5.0,2.0,5.0,5.0,3.0,2.0,2.0,4.0,3.0,4.0,5.0,2.0,3.0,3.0,4.0,3.0,2,2.0,5.0,4,5.0,4.0,Default,56@survey.com
56,56,0,5.0,3.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,3,4.0,1.0,4.0,1.0,3.0,5.0,5.0,5.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,5.0,1.0,3.0,3.0,3,3.0,5.0,5,5.0,3.0,Default,57@survey.com
57,57,0,5.0,1.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,1,4.0,2.0,3.0,3.0,2.0,5.0,4.0,2.0,2.0,5.0,5.0,2.0,3.0,5.0,4.0,3.0,4.0,3.0,1.0,4,2.0,3.0,4,2.0,3.0,Default,58@survey.com
58,58,0,1.0,2.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,1.0,1.0,4,2.0,1.0,3.0,3.0,1.0,5.0,5.0,5.0,1.0,4.0,5.0,1.0,5.0,4.0,5.0,1.0,1.0,4.0,2.0,3,1.0,4.0,3,2.0,5.0,Default,59@survey.com
59,59,0,4.0,1.0,5.0,1.0,5.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,2,1.0,1.0,3.0,1.0,5.0,1.0,5.0,3.0,1.0,5.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,1.0,1.0,4,2.0,3.0,2,1.0,4.0,Default,60@survey.com
60,60,0,4.0,3.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,4.0,3,2.0,1.0,4.0,2.0,1.0,3.0,5.0,4.0,5.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3,3.0,4.0,3,1.0,1.0,Default,61@survey.com
61,61,0,4.0,4.0,4.0,3.0,5.0,5.0,2.0,4.0,5.0,3.0,5.0,3.0,3.0,1,3.0,1.0,4.0,4.0,1.0,5.0,3.0,4.0,1.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,2.0,3.0,4.0,3,3.0,3.0,3,1.0,4.0,Default,62@survey.com
62,62,0,4.0,5.0,5.0,4.0,5.0,4.0,1.0,4.0,5.0,1.0,5.0,2.0,2.0,5,3.0,5.0,4.0,5.0,5.0,4.0,4.0,1.0,2.0,4.0,4.0,3.0,5.0,3.0,4.0,1.0,1.0,5.0,5.0,4,1.0,4.0,5,5.0,4.0,Default,63@survey.com
63,63,0,3.0,5.0,5.0,3.0,5.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,1,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,1.0,5.0,3.0,4.0,1.0,1.0,5.0,2.0,3.0,4.0,2.0,3,2.0,3.0,5,2.0,3.0,Default,64@survey.com
64,64,0,5.0,1.0,3.0,5.0,5.0,1.0,3.0,5.0,5.0,1.0,5.0,2.0,5.0,1,2.0,2.0,1.0,3.0,1.0,5.0,5.0,1.0,1.0,2.0,5.0,1.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,3,1.0,5.0,3,5.0,1.0,Default,65@survey.com
65,65,0,3.0,2.0,2.0,2.0,5.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,3,3.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,5.0,2.0,1.0,3.0,5.0,3.0,3.0,5.0,2.0,1.0,4,1.0,3.0,3,2.0,1.0,Default,66@survey.com
66,66,0,3.0,4.0,2.0,3.0,4.0,5.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,4,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,5.0,3.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,3,1.0,2.0,3,3.0,3.0,Default,67@survey.com
67,67,0,1.0,1.0,4.0,2.0,5.0,5.0,3.0,5.0,4.0,1.0,5.0,2.0,3.0,3,3.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,5.0,4.0,2.0,2.0,4,2.0,4.0,4,2.0,3.0,Default,68@survey.com
68,68,0,5.0,3.0,3.0,1.0,5.0,5.0,1.0,5.0,3.0,3.0,1.0,2.0,3.0,1,5.0,5.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,2.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,2.0,3,1.0,4.0,2,2.0,1.0,Default,69@survey.com
69,69,0,4.0,2.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,1.0,4,4.0,5.0,1.0,5.0,2.0,4.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,5.0,5.0,1.0,1.0,2,5.0,3.0,3,1.0,4.0,Default,70@survey.com
70,70,0,3.0,5.0,3.0,2.0,5.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,1.0,1,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,3,3.0,3.0,4,2.0,4.0,Default,71@survey.com
71,71,0,1.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,1.0,3.0,1.0,1.0,1,4.0,1.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,4.0,5.0,5.0,2.0,3.0,4.0,3.0,4.0,4.0,1.0,3,3.0,2.0,3,1.0,4.0,Default,72@survey.com
72,72,0,5.0,3.0,4.0,4.0,5.0,2.0,2.0,2.0,3.0,1.0,5.0,1.0,2.0,2,3.0,3.0,2.0,4.0,1.0,5.0,5.0,5.0,3.0,5.0,4.0,1.0,2.0,5.0,4.0,5.0,5.0,1.0,1.0,3,2.0,3.0,5,3.0,1.0,Default,73@survey.com
73,73,0,2.0,5.0,5.0,4.0,5.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,3.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,1.0,4,3.0,5.0,4,1.0,5.0,Default,74@survey.com
74,74,0,1.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,3.0,2.0,5,1.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,5.0,2.0,1.0,3,3.0,5.0,2,1.0,5.0,Default,75@survey.com
75,75,0,5.0,5.0,4.0,2.0,4.0,1.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,2,2.0,1.0,3.0,1.0,2.0,3.0,5.0,2.0,5.0,3.0,5.0,2.0,3.0,1.0,5.0,2.0,5.0,4.0,1.0,3,4.0,5.0,5,2.0,3.0,Default,76@survey.com
76,76,0,2.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,1,2.0,3.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,5.0,4.0,3.0,4.0,2.0,3.0,3.0,5.0,5.0,1.0,3,1.0,3.0,4,2.0,4.0,Default,77@survey.com
77,77,0,4.0,1.0,3.0,2.0,5.0,5.0,1.0,3.0,3.0,1.0,5.0,4.0,5.0,1,3.0,1.0,2.0,2.0,1.0,5.0,5.0,1.0,1.0,3.0,4.0,1.0,5.0,3.0,4.0,3.0,1.0,3.0,1.0,3,1.0,5.0,4,1.0,2.0,Default,78@survey.com
78,78,0,3.0,1.0,5.0,5.0,5.0,3.0,1.0,4.0,5.0,1.0,5.0,5.0,5.0,3,4.0,1.0,1.0,3.0,1.0,5.0,5.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,4.0,1.0,5.0,1.0,3,4.0,5.0,3,1.0,3.0,Default,79@survey.com
79,79,0,5.0,4.0,3.0,1.0,5.0,5.0,1.0,5.0,2.0,1.0,4.0,2.0,3.0,3,2.0,3.0,3.0,5.0,2.0,5.0,4.0,3.0,2.0,5.0,3.0,5.0,4.0,1.0,3.0,4.0,2.0,4.0,1.0,3,1.0,5.0,3,2.0,1.0,Default,80@survey.com
80,80,0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,2.0,2.0,3,5.0,1.0,2.0,3.0,2.0,5.0,4.0,3.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3,2.0,3.0,4,4.0,1.0,Default,81@survey.com
